"Cod birou electoral",Județ,Uat,Siruta,Localitate,Secție,Nr,Tip,Versiune,a,b,b1,b2,b3,c,d,e,f,g1,g2
48,STRĂINĂTATE,OLANDA,9999,HAGA,HAGA,503,"Alegeri Prezidentiale",1,0,476,0,476,0,472,4,3600,3124,453,19
48,STRĂINĂTATE,OLANDA,9999,HAGA,HAGA,505,"Alegeri Prezidentiale",1,0,438,0,438,0,432,6,3605,3167,414,18
48,STRĂINĂTATE,OLANDA,9999,ROTTERDAM,ROTTERDAM,507,"Alegeri Prezidentiale",1,0,532,0,532,0,522,10,3600,3068,505,17
48,STRĂINĂTATE,OLANDA,9999,ROTTERDAM,ROTTERDAM,508,"Alegeri Prezidentiale",1,0,564,0,564,0,559,5,3600,3036,542,17
48,STRĂINĂTATE,OLANDA,9999,ROTTERDAM,ROTTERDAM,509,"Alegeri Prezidentiale",1,0,336,0,336,0,333,3,3600,3264,307,26
48,STRĂINĂTATE,OLANDA,9999,ROTTERDAM,ROTTERDAM,510,"Alegeri Prezidentiale",1,0,325,0,325,0,322,3,3600,3275,304,18
48,STRĂINĂTATE,OLANDA,9999,GRONINGEN,GRONINGEN,511,"Alegeri Prezidentiale",1,0,247,0,247,0,245,2,3600,3353,235,10
48,STRĂINĂTATE,OLANDA,9999,GRONINGEN,GRONINGEN,512,"Alegeri Prezidentiale",1,0,374,0,374,0,371,3,3599,3225,359,12
48,STRĂINĂTATE,OLANDA,9999,GRONINGEN,GRONINGEN,513,"Alegeri Prezidentiale",1,0,376,0,376,0,373,3,3598,3222,359,14
48,STRĂINĂTATE,OLANDA,9999,GRONINGEN,GRONINGEN,514,"Alegeri Prezidentiale",1,0,240,0,240,0,236,4,3600,3360,226,10
48,STRĂINĂTATE,OLANDA,9999,EINDHOVEN,EINDHOVEN,515,"Alegeri Prezidentiale",2,0,680,0,680,0,672,8,3600,2920,640,32
48,STRĂINĂTATE,OLANDA,9999,EINDHOVEN,EINDHOVEN,516,"Alegeri Prezidentiale",1,0,688,0,688,0,678,10,3600,2912,649,29
48,STRĂINĂTATE,OLANDA,9999,EINDHOVEN,EINDHOVEN,517,"Alegeri Prezidentiale",1,0,689,0,689,0,679,10,3600,2911,664,15
48,STRĂINĂTATE,OLANDA,9999,EINDHOVEN,EINDHOVEN,518,"Alegeri Prezidentiale",1,0,697,0,697,0,695,2,3600,2903,666,29
48,STRĂINĂTATE,"SULTANATUL OMAN",9999,MUSCAT,MUSCAT,522,"Alegeri Prezidentiale",2,0,132,0,132,0,132,0,800,668,124,8
48,STRĂINĂTATE,PAKISTAN,9999,ISLAMABAD,ISLAMABAD,523,"Alegeri Prezidentiale",1,0,20,0,20,0,20,0,100,80,20,0
48,STRĂINĂTATE,PALESTINA,9999,RAMALLAH,RAMALLAH,524,"Alegeri Prezidentiale",1,0,46,0,46,0,45,1,400,354,36,9
48,STRĂINĂTATE,POLONIA,9999,CRACOVIA,CRACOVIA,527,"Alegeri Prezidentiale",1,0,379,0,379,0,365,14,1200,821,348,17
48,STRĂINĂTATE,POLONIA,9999,WROCLAW,WROCLAW,528,"Alegeri Prezidentiale",1,0,143,0,143,0,142,1,1199,1056,135,7
48,STRĂINĂTATE,POLONIA,9999,GDANSK,GDANSK,529,"Alegeri Prezidentiale",1,0,121,0,121,0,120,1,1200,1079,114,6
48,STRĂINĂTATE,QATAR,9999,DOHA,DOHA,539,"Alegeri Prezidentiale",1,0,577,0,577,0,572,5,2400,1823,536,36
48,STRĂINĂTATE,"FEDERATIA RUSA",9999,MOSCOVA,MOSCOVA,612,"Alegeri Prezidentiale",1,0,176,0,176,0,168,8,500,324,133,35
